conference,idC,idP,title,idK,keyword
"Proceedings of the 19th Conference on Formal Methods in Computer-Aided Design, FMCAD 2019",c20,p127,Visio-acoustic data fusion for structural health monitoring applications,k453,Signal aliasing
"Proceedings of the 19th Conference on Formal Methods in Computer-Aided Design, FMCAD 2019",c20,p127,Visio-acoustic data fusion for structural health monitoring applications,k454,Structural health monitoring
"Proceedings of the 19th Conference on Formal Methods in Computer-Aided Design, FMCAD 2019",c20,p127,Visio-acoustic data fusion for structural health monitoring applications,k455,Sub-Nyquist sampling
"Proceedings of the 19th Conference on Formal Methods in Computer-Aided Design, FMCAD 2019",c20,p127,Visio-acoustic data fusion for structural health monitoring applications,k456,Vibro-acoustics
"Proceedings of the 19th Conference on Formal Methods in Computer-Aided Design, FMCAD 2019",c20,p127,Visio-acoustic data fusion for structural health monitoring applications,k457,Video processing
"51st North American Power Symposium, NAPS 2019",c21,p129,Atomic flux circuits,k470,atomic beams
"51st North American Power Symposium, NAPS 2019",c21,p129,Atomic flux circuits,k471,atomic physics
"51st North American Power Symposium, NAPS 2019",c21,p129,Atomic flux circuits,k472,atomic sensors
"51st North American Power Symposium, NAPS 2019",c21,p129,Atomic flux circuits,k473,microfabricated vapor cells
"51st North American Power Symposium, NAPS 2019",c21,p129,Atomic flux circuits,k474,optical frequency standards
"51st North American Power Symposium, NAPS 2019",c21,p129,Atomic flux circuits,k475,quantum metrology
"International Conference on Infrared, Millimeter, and Terahertz Waves, IRMMW-THz",c23,p139,"Adapting standard external clustering metrics for repetitive, noisy observations",k491,Clustering
"International Conference on Infrared, Millimeter, and Terahertz Waves, IRMMW-THz",c23,p139,"Adapting standard external clustering metrics for repetitive, noisy observations",k492,External metrics
"International Conference on Infrared, Millimeter, and Terahertz Waves, IRMMW-THz",c23,p139,"Adapting standard external clustering metrics for repetitive, noisy observations",k493,Noise
"2019 IEEE Photonics Conference, IPC 2019 - Proceedings",c24,p142,Irregular quadrature amplitude modulation for adaptive physical-layer security,k503,Coset coding
"2019 IEEE Photonics Conference, IPC 2019 - Proceedings",c24,p142,Irregular quadrature amplitude modulation for adaptive physical-layer security,k504,Physicallayer security
"2019 IEEE Photonics Conference, IPC 2019 - Proceedings",c24,p142,Irregular quadrature amplitude modulation for adaptive physical-layer security,k505,Quadrature amplitude modulation
"2019 IEEE Photonics Conference, IPC 2019 - Proceedings",c24,p142,Irregular quadrature amplitude modulation for adaptive physical-layer security,k506,Security gap
"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",c25,p144,Synchronization between sensors and cameras in movement data labeling frameworks,k507,Annotating
"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",c25,p144,Synchronization between sensors and cameras in movement data labeling frameworks,k508,Camera
"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",c25,p144,Synchronization between sensors and cameras in movement data labeling frameworks,k509,IMU
"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",c25,p144,Synchronization between sensors and cameras in movement data labeling frameworks,k510,Labeling
"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",c25,p144,Synchronization between sensors and cameras in movement data labeling frameworks,k511,Synchronization
"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",c25,p144,Synchronization between sensors and cameras in movement data labeling frameworks,k512,Video
"Proceedings - 2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science, IRI 2020",c3,p22,"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",k87,content
"Proceedings - 2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science, IRI 2020",c3,p22,"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",k88,deep learning
"Proceedings - 2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science, IRI 2020",c3,p22,"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",k89,metadata
"Proceedings - 2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science, IRI 2020",c3,p22,"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",k90,Research paper
"ASEE Annual Conference and Exposition, Conference Proceedings",c30,p160,Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,k30,Co-simulation
"ASEE Annual Conference and Exposition, Conference Proceedings",c30,p160,Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,k34,State estimation
"ASEE Annual Conference and Exposition, Conference Proceedings",c30,p160,Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,k548,Communication irregularities
"ASEE Annual Conference and Exposition, Conference Proceedings",c30,p160,Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,k549,Network observability
"2019 International Conference on Unmanned Aircraft Systems, ICUAS 2019",c31,p161,Network Reduction in Transient Stability Models using Partial Response Matching,k550,Parameter Estimation
"2019 International Conference on Unmanned Aircraft Systems, ICUAS 2019",c31,p161,Network Reduction in Transient Stability Models using Partial Response Matching,k551,Reduced Order Systems
"2019 International Conference on Unmanned Aircraft Systems, ICUAS 2019",c31,p161,Network Reduction in Transient Stability Models using Partial Response Matching,k552,System Identification
"Proceedings - 4th IEEE European Symposium on Security and Privacy Workshops, EUROS and PW 2019",c32,p166,Feedback regulation of immune response to maximum exercise in Gulf war illness,k571,Exercise response
"Proceedings - 4th IEEE European Symposium on Security and Privacy Workshops, EUROS and PW 2019",c32,p166,Feedback regulation of immune response to maximum exercise in Gulf war illness,k572,Feedback control
"Proceedings - 4th IEEE European Symposium on Security and Privacy Workshops, EUROS and PW 2019",c32,p166,Feedback regulation of immune response to maximum exercise in Gulf war illness,k573,Gulf War Illness
"Proceedings - 4th IEEE European Symposium on Security and Privacy Workshops, EUROS and PW 2019",c32,p166,Feedback regulation of immune response to maximum exercise in Gulf war illness,k574,Immune dynamics
"Proceedings - 4th IEEE European Symposium on Security and Privacy Workshops, EUROS and PW 2019",c32,p166,Feedback regulation of immune response to maximum exercise in Gulf war illness,k575,Oscillatory behavior
"Proceedings of 11th International Conference on Bioinformatics and Computational Biology, BiCOB 2019",c37,p173,Three-Dimensional Hydrodynamic Focusing Designs for Integrated Optofluidic Detection Enhancement,k584,biophotonics
"Proceedings of 11th International Conference on Bioinformatics and Computational Biology, BiCOB 2019",c37,p173,Three-Dimensional Hydrodynamic Focusing Designs for Integrated Optofluidic Detection Enhancement,k585,biosensor
"Proceedings of 11th International Conference on Bioinformatics and Computational Biology, BiCOB 2019",c37,p173,Three-Dimensional Hydrodynamic Focusing Designs for Integrated Optofluidic Detection Enhancement,k586,hydrodynamic focusing
"Proceedings of 11th International Conference on Bioinformatics and Computational Biology, BiCOB 2019",c37,p173,Three-Dimensional Hydrodynamic Focusing Designs for Integrated Optofluidic Detection Enhancement,k587,liquid-core waveguide
"Proceedings of 11th International Conference on Bioinformatics and Computational Biology, BiCOB 2019",c37,p173,Three-Dimensional Hydrodynamic Focusing Designs for Integrated Optofluidic Detection Enhancement,k588,multi-spot excitation
"Proceedings of 11th International Conference on Bioinformatics and Computational Biology, BiCOB 2019",c37,p173,Three-Dimensional Hydrodynamic Focusing Designs for Integrated Optofluidic Detection Enhancement,k589,optofluidics
FPGA 2019 - Proceedings of the 2019 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,c38,p176,An APMonitor Temperature Lab PID Control Experiment for Undergraduate Students,k597,Arduino
FPGA 2019 - Proceedings of the 2019 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,c38,p176,An APMonitor Temperature Lab PID Control Experiment for Undergraduate Students,k598,Control Engineering Education
FPGA 2019 - Proceedings of the 2019 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,c38,p176,An APMonitor Temperature Lab PID Control Experiment for Undergraduate Students,k599,PID Control
"Proceedings of the 2019 Research on Equity and Sustained Participation in Engineering, Computing, and Technology, RESPECT 2019",c39,p177,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,k593,Bootstrapped switch
"Proceedings of the 2019 Research on Equity and Sustained Participation in Engineering, Computing, and Technology, RESPECT 2019",c39,p177,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,k594,DAC
"Proceedings of the 2019 Research on Equity and Sustained Participation in Engineering, Computing, and Technology, RESPECT 2019",c39,p177,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,k595,SAR ADC
