idJ,journal
j217,Space Safety and Human Performance
j218,Journal of Healthcare Engineering
j219,Geological Society Special Publication
j220,Annals of Biomedical Engineering
j221,IEEE/ACM Transactions on Audio Speech and Language Processing
j222,Journal of Sound and Vibration
j223,Journal of Reinforced Plastics and Composites
j224,Bioconjugate Chemistry
j225,Journal of Professional Issues in Engineering Education and Practice
j226,Journal of Traffic and Transportation Engineering (English Edition)
j227,IEEE Transactions on Learning Technologies
j228,Measurement: Journal of the International Measurement Confederation
j229,Journal of Technology Education
j230,International Journal of Industrial Organization
j231,"Journal of Medical Devices, Transactions of the ASME"
j232,International Journal of Human Computer Studies
j233,Journal of Mechanical Science and Technology
j234,"Journal of Energy Resources Technology, Transactions of the ASME"
j235,International Journal of Electronics
j236,Building Simulation
j237,Fire Technology
j238,Biomaterials
j239,SAE International Journal of Passenger Cars - Mechanical Systems
j240,Journal of Water Resources Planning and Management
j241,Journal of Management in Engineering
j242,International Journal of Multiphase Flow
j243,International Journal of Precision Engineering and Manufacturing
j244,Risk Analysis
j245,Experiments in Fluids
j246,Superconductor Science and Technology
j247,Structural and Multidisciplinary Optimization
j248,Journal of Nonlinear Science
j249,IEEE Geoscience and Remote Sensing Letters
j250,Journal of Tissue Engineering
j251,SpringerBriefs in Applied Sciences and Technology
j252,Energy
j253,Polyploidy and Hybridization for Crop Improvement
j254,Journal of Power Sources
j255,Nanophotonics
j256,CAD Computer Aided Design
j257,IEEE Transactions on Control of Network Systems
j258,Innovations in Dryland Agriculture
