journal,idJ,idP,title,idK,keyword
"Journal of Applied Mechanics, Transactions ASME",j109,p154,Identifying the relative importance of predictive variables in artificial neural networks based on data produced through a discrete event simulation of a manufacturing environment,k541,artificial neural networks (ANNs)
"Journal of Applied Mechanics, Transactions ASME",j109,p154,Identifying the relative importance of predictive variables in artificial neural networks based on data produced through a discrete event simulation of a manufacturing environment,k542,connection weight approach
"Journal of Applied Mechanics, Transactions ASME",j109,p154,Identifying the relative importance of predictive variables in artificial neural networks based on data produced through a discrete event simulation of a manufacturing environment,k543,data mining
"Journal of Applied Mechanics, Transactions ASME",j109,p154,Identifying the relative importance of predictive variables in artificial neural networks based on data produced through a discrete event simulation of a manufacturing environment,k544,Discrete event simulation (DES)
Computer Methods in Applied Mechanics and Engineering,j11,p13,In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,k53,Fiber Bragg Grating
Computer Methods in Applied Mechanics and Engineering,j11,p13,In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,k54,High speed measurements
Computer Methods in Applied Mechanics and Engineering,j11,p13,In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,k55,Optical fiber sensors
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,j111,p159,On Sparse Channel Estimation in Aeronautical Telemetry,k153,shaped offset QPSK (SOQPSK)
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,j111,p159,On Sparse Channel Estimation in Aeronautical Telemetry,k154,sparse channel estimation
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,j111,p159,On Sparse Channel Estimation in Aeronautical Telemetry,k545,Continuous phase modulation (CPM)
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,j111,p159,On Sparse Channel Estimation in Aeronautical Telemetry,k546,equalization
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,j111,p159,On Sparse Channel Estimation in Aeronautical Telemetry,k547,frequency selective multipath
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,j111,p249,Approximate MLSE Equalization of SOQPSK-TG in Aeronautical Telemetry,k547,frequency selective multipath
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,j111,p249,Approximate MLSE Equalization of SOQPSK-TG in Aeronautical Telemetry,k810,Equalization
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,j111,p249,Approximate MLSE Equalization of SOQPSK-TG in Aeronautical Telemetry,k811,maximum likelihood sequence estimation
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,j111,p249,Approximate MLSE Equalization of SOQPSK-TG in Aeronautical Telemetry,k812,SOQPSK
Sensors (Switzerland),j112,p162,Origami-inspired sacrificial joints for folding compliant mechanisms,k277,Compliant mechanisms
Sensors (Switzerland),j112,p162,Origami-inspired sacrificial joints for folding compliant mechanisms,k553,Applied origami
Sensors (Switzerland),j112,p162,Origami-inspired sacrificial joints for folding compliant mechanisms,k554,Folding
Sensors (Switzerland),j112,p162,Origami-inspired sacrificial joints for folding compliant mechanisms,k555,Sacrificial joints
Mechanical Engineering,j113,p163,Observed building damage patterns and foundation performance in Mexico City following the 2017 M7 1 Puebla-Mexico City earthquake,k556,Building damage mapping
Mechanical Engineering,j113,p163,Observed building damage patterns and foundation performance in Mexico City following the 2017 M7 1 Puebla-Mexico City earthquake,k557,Seismic foundation performance
Mechanical Engineering,j113,p163,Observed building damage patterns and foundation performance in Mexico City following the 2017 M7 1 Puebla-Mexico City earthquake,k558,Site response
Mechanical Engineering,j113,p163,Observed building damage patterns and foundation performance in Mexico City following the 2017 M7 1 Puebla-Mexico City earthquake,k559,Structural resonance
Journal of Mechanics in Medicine and Biology,j114,p164,Using non-destructive testing to predict bending modulus of carbon infiltrated-carbon nanotubes,k560,bending modulus
Journal of Mechanics in Medicine and Biology,j114,p164,Using non-destructive testing to predict bending modulus of carbon infiltrated-carbon nanotubes,k561,carbon infiltrated-carbon nanotubes
Journal of Mechanics in Medicine and Biology,j114,p164,Using non-destructive testing to predict bending modulus of carbon infiltrated-carbon nanotubes,k562,carbon nanotubes
Journal of Mechanics in Medicine and Biology,j114,p164,Using non-destructive testing to predict bending modulus of carbon infiltrated-carbon nanotubes,k563,density
Journal of Mechanics in Medicine and Biology,j114,p164,Using non-destructive testing to predict bending modulus of carbon infiltrated-carbon nanotubes,k564,non-destructive testing
Journal of Mechanics in Medicine and Biology,j114,p164,Using non-destructive testing to predict bending modulus of carbon infiltrated-carbon nanotubes,k565,Raman spectroscopy
IEEE Transactions on Professional Communication,j115,p165,Mechanical and temperature resilience of multi-material systems for printed electronics packaging,k170,additive manufacturing
IEEE Transactions on Professional Communication,j115,p165,Mechanical and temperature resilience of multi-material systems for printed electronics packaging,k566,conductive ink
IEEE Transactions on Professional Communication,j115,p165,Mechanical and temperature resilience of multi-material systems for printed electronics packaging,k567,electronic packaging9large area projection sintering
IEEE Transactions on Professional Communication,j115,p165,Mechanical and temperature resilience of multi-material systems for printed electronics packaging,k568,harsh environmental testing
IEEE Transactions on Professional Communication,j115,p165,Mechanical and temperature resilience of multi-material systems for printed electronics packaging,k569,hybrid electronics
IEEE Transactions on Professional Communication,j115,p165,Mechanical and temperature resilience of multi-material systems for printed electronics packaging,k570,printed electronics
Optimization and Engineering,j116,p169,Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip: Isoflux wall,k300,Slip length
Optimization and Engineering,j116,p169,Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip: Isoflux wall,k301,Superhydrophobic surface
Optimization and Engineering,j116,p169,Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip: Isoflux wall,k302,Temperature jump length
Optimization and Engineering,j116,p169,Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip: Isoflux wall,k576,Convective heat transfer
Optimization and Engineering,j116,p169,Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip: Isoflux wall,k577,Isoflux wall
Optimization and Engineering,j116,p169,Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip: Isoflux wall,k578,Jet impingement
International Journal of Plasticity,j117,p170,Just-noticeable difference binary pattern for reduced reference image quality assessment,k579,image quality assessment
International Journal of Plasticity,j117,p170,Just-noticeable difference binary pattern for reduced reference image quality assessment,k580,image structure
International Journal of Plasticity,j117,p170,Just-noticeable difference binary pattern for reduced reference image quality assessment,k581,just-noticeable difference
International Journal of Plasticity,j117,p170,Just-noticeable difference binary pattern for reduced reference image quality assessment,k582,local binary pattern
International Journal of Plasticity,j117,p170,Just-noticeable difference binary pattern for reduced reference image quality assessment,k583,reduced-reference
"IEEE Transactions on Components, Packaging and Manufacturing Technology",j118,p174,Transparency: Transitioning From Human–Machine Systems to Human-Swarm Systems,k590,human robot interaction
"IEEE Transactions on Components, Packaging and Manufacturing Technology",j118,p174,Transparency: Transitioning From Human–Machine Systems to Human-Swarm Systems,k591,robotics
"IEEE Transactions on Components, Packaging and Manufacturing Technology",j118,p174,Transparency: Transitioning From Human–Machine Systems to Human-Swarm Systems,k592,transparency
Composites Part A: Applied Science and Manufacturing,j119,p175,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,k593,Bootstrapped switch
Composites Part A: Applied Science and Manufacturing,j119,p175,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,k594,DAC
Composites Part A: Applied Science and Manufacturing,j119,p175,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,k595,SAR ADC
Composites Part A: Applied Science and Manufacturing,j119,p175,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,k596,Time interleaved
IEEE Vehicular Technology Magazine,j12,p14,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,k56,Bézier extraction
IEEE Vehicular Technology Magazine,j12,p14,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,k57,Dual basis
IEEE Vehicular Technology Magazine,j12,p14,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,k58,Isogeometric analysis
IEEE Vehicular Technology Magazine,j12,p14,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,k59,Locking
IEEE Vehicular Technology Magazine,j12,p14,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,k60,Reissner–Mindlin
IEEE Vehicular Technology Magazine,j12,p14,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,k61,Shells
Journal of Biological Engineering,j120,p178,Design of a Clinical Decision Support System for Predicting Erectile Dysfunction in Men Using NHIRD Dataset,k601,clinical decision support system (CDSS)
Journal of Biological Engineering,j120,p178,Design of a Clinical Decision Support System for Predicting Erectile Dysfunction in Men Using NHIRD Dataset,k602,Erectile dysfunction (ED)
Journal of Biological Engineering,j120,p178,Design of a Clinical Decision Support System for Predicting Erectile Dysfunction in Men Using NHIRD Dataset,k603,genetic algorithm (GA)
Journal of Biological Engineering,j120,p178,Design of a Clinical Decision Support System for Predicting Erectile Dysfunction in Men Using NHIRD Dataset,k604,National Health Insurance Research Database (NHIRD)
Journal of Biological Engineering,j120,p178,Design of a Clinical Decision Support System for Predicting Erectile Dysfunction in Men Using NHIRD Dataset,k605,support vector machine (SVM)
Osteoarthritis and Cartilage,j122,p180,3D hydrodynamic flow focusing-based micromixer enables high-resolution imaging for studying the early folding kinetics of G-quadruplex,k606,Folding kinetics
Osteoarthritis and Cartilage,j122,p180,3D hydrodynamic flow focusing-based micromixer enables high-resolution imaging for studying the early folding kinetics of G-quadruplex,k607,G-quadruplex
Osteoarthritis and Cartilage,j122,p180,3D hydrodynamic flow focusing-based micromixer enables high-resolution imaging for studying the early folding kinetics of G-quadruplex,k608,Hydrodynamic flow focusing
Osteoarthritis and Cartilage,j122,p180,3D hydrodynamic flow focusing-based micromixer enables high-resolution imaging for studying the early folding kinetics of G-quadruplex,k609,Micromixer
Osteoarthritis and Cartilage,j122,p180,3D hydrodynamic flow focusing-based micromixer enables high-resolution imaging for studying the early folding kinetics of G-quadruplex,k610,Three-dimensional focusing
Multimedia Tools and Applications,j123,p181,Thermal and hydrothermal stability of pure and silica-doped mesoporous aluminas,k611,Phase transformation
Multimedia Tools and Applications,j123,p181,Thermal and hydrothermal stability of pure and silica-doped mesoporous aluminas,k612,Pore structure evolution
Multimedia Tools and Applications,j123,p181,Thermal and hydrothermal stability of pure and silica-doped mesoporous aluminas,k613,Silica doped alumina
Multimedia Tools and Applications,j123,p181,Thermal and hydrothermal stability of pure and silica-doped mesoporous aluminas,k614,Thermal and hydrothermal stability
Multimedia Tools and Applications,j123,p181,Thermal and hydrothermal stability of pure and silica-doped mesoporous aluminas,k615,Transitional alumina
Precision Engineering,j124,p182,"Binder jetting: A review of process, materials, and methods",k407,Wetting
Precision Engineering,j124,p182,"Binder jetting: A review of process, materials, and methods",k616,Binder jetting
Precision Engineering,j124,p182,"Binder jetting: A review of process, materials, and methods",k617,Materials
Precision Engineering,j124,p182,"Binder jetting: A review of process, materials, and methods",k618,Post-processing
Precision Engineering,j124,p182,"Binder jetting: A review of process, materials, and methods",k619,Powder deposition
Precision Engineering,j124,p182,"Binder jetting: A review of process, materials, and methods",k620,Sintering
Analytical Methods,j126,p185,"The September 19, 2017 Mw 7 1 Puebla-Mexico city earthquake: Important findings from the field – Overview of Special Edition",k556,Building damage mapping
Analytical Methods,j126,p185,"The September 19, 2017 Mw 7 1 Puebla-Mexico city earthquake: Important findings from the field – Overview of Special Edition",k557,Seismic foundation performance
Analytical Methods,j126,p185,"The September 19, 2017 Mw 7 1 Puebla-Mexico city earthquake: Important findings from the field – Overview of Special Edition",k558,Site response
Analytical Methods,j126,p185,"The September 19, 2017 Mw 7 1 Puebla-Mexico city earthquake: Important findings from the field – Overview of Special Edition",k559,Structural resonance
Journal of Mechanisms and Robotics,j127,p186,Generating a Binary Symmetric Channel for Wiretap Codes,k625,Gaussian wiretap channel
Journal of Mechanisms and Robotics,j127,p186,Generating a Binary Symmetric Channel for Wiretap Codes,k626,Physical-layer security
Journal of Mechanisms and Robotics,j127,p186,Generating a Binary Symmetric Channel for Wiretap Codes,k627,practical secrecy coding
ACM Transactions on Privacy and Security,j128,p187,Evaluation of intermetallic compound layer at aluminum/steel interface joined by friction stir scribe technology,k628,Dissimilar
ACM Transactions on Privacy and Security,j128,p187,Evaluation of intermetallic compound layer at aluminum/steel interface joined by friction stir scribe technology,k629,Friction stir scribe technology
ACM Transactions on Privacy and Security,j128,p187,Evaluation of intermetallic compound layer at aluminum/steel interface joined by friction stir scribe technology,k630,Intermetallic
ACM Transactions on Privacy and Security,j128,p187,Evaluation of intermetallic compound layer at aluminum/steel interface joined by friction stir scribe technology,k631,Kinetic
ACM Transactions on Privacy and Security,j128,p187,Evaluation of intermetallic compound layer at aluminum/steel interface joined by friction stir scribe technology,k632,Thermodynamic
Journal of Air Transportation,j129,p188,Soft body armor time-dependent back face deformation (BFD) with ballistics gel backing,k18,Back face deformation
Journal of Air Transportation,j129,p188,Soft body armor time-dependent back face deformation (BFD) with ballistics gel backing,k20,Body armor
Journal of Air Transportation,j129,p188,Soft body armor time-dependent back face deformation (BFD) with ballistics gel backing,k633,Ballistic fabric
Journal of Air Transportation,j129,p188,Soft body armor time-dependent back face deformation (BFD) with ballistics gel backing,k634,Impact behavior
Journal of Heat Transfer,j130,p189,Phase II monitoring of variability using Cusum and EWMA charts with individual observations,k635,ARL
Journal of Heat Transfer,j130,p189,Phase II monitoring of variability using Cusum and EWMA charts with individual observations,k636,Cusum
Journal of Heat Transfer,j130,p189,Phase II monitoring of variability using Cusum and EWMA charts with individual observations,k637,EWMA
Journal of Heat Transfer,j130,p189,Phase II monitoring of variability using Cusum and EWMA charts with individual observations,k638,Phase II monitoring
Journal of Heat Transfer,j130,p189,Phase II monitoring of variability using Cusum and EWMA charts with individual observations,k639,variability
Journal of Materials Science and Technology,j131,p194,Quantifying the effects of various factors on the utility of design ethnography in the developing world,k640,Design ethnography
Journal of Materials Science and Technology,j131,p194,Quantifying the effects of various factors on the utility of design ethnography in the developing world,k641,Design for the developing world
Journal of Materials Science and Technology,j131,p194,Quantifying the effects of various factors on the utility of design ethnography in the developing world,k642,Engineering for global development
Journal of Materials Science and Technology,j131,p194,Quantifying the effects of various factors on the utility of design ethnography in the developing world,k643,Low resource
Journal of Materials Science and Technology,j131,p194,Quantifying the effects of various factors on the utility of design ethnography in the developing world,k644,Poverty alleviation
Journal of Materials Science and Technology,j131,p194,Quantifying the effects of various factors on the utility of design ethnography in the developing world,k645,Resource-poor
Rapid Prototyping Journal,j133,p199,Lower-bound dislocation density mapping in microcoined tantalum using high-resolution electron backscatter diffraction,k655,Coining
Rapid Prototyping Journal,j133,p199,Lower-bound dislocation density mapping in microcoined tantalum using high-resolution electron backscatter diffraction,k656,Dislocation density
Rapid Prototyping Journal,j133,p199,Lower-bound dislocation density mapping in microcoined tantalum using high-resolution electron backscatter diffraction,k657,EBSD
Rapid Prototyping Journal,j133,p199,Lower-bound dislocation density mapping in microcoined tantalum using high-resolution electron backscatter diffraction,k658,Metals
Rapid Prototyping Journal,j133,p199,Lower-bound dislocation density mapping in microcoined tantalum using high-resolution electron backscatter diffraction,k659,Microforming
Rapid Prototyping Journal,j133,p199,Lower-bound dislocation density mapping in microcoined tantalum using high-resolution electron backscatter diffraction,k660,Microstructure formation
Journal of Materials Processing Technology,j134,p200,Enhanced-Resolution SMAP Brightness Temperature Image Products,k661,Brightness temperature
Journal of Materials Processing Technology,j134,p200,Enhanced-Resolution SMAP Brightness Temperature Image Products,k662,Calibrated Passive Microwave Daily Equal-Area Scalable Earth Grid 20 Brightness Temperature (CETB)
Journal of Materials Processing Technology,j134,p200,Enhanced-Resolution SMAP Brightness Temperature Image Products,k663,radiometer
Journal of Materials Processing Technology,j134,p200,Enhanced-Resolution SMAP Brightness Temperature Image Products,k664,reconstruction
Journal of Materials Processing Technology,j134,p219,Scatterometer Backscatter Imaging Using Backus-Gilbert Inversion,k664,reconstruction
Journal of Materials Processing Technology,j134,p200,Enhanced-Resolution SMAP Brightness Temperature Image Products,k665,Soil Moisture Active Passive (SMAP)
Journal of Materials Processing Technology,j134,p218,Improved Ultrahigh-Resolution Wind Retrieval for RapidScat,k704,Radar scattering
Journal of Materials Processing Technology,j134,p218,Improved Ultrahigh-Resolution Wind Retrieval for RapidScat,k705,RapidScat
Journal of Materials Processing Technology,j134,p218,Improved Ultrahigh-Resolution Wind Retrieval for RapidScat,k706,scatterometer
Journal of Materials Processing Technology,j134,p219,Scatterometer Backscatter Imaging Using Backus-Gilbert Inversion,k706,scatterometer
Journal of Materials Processing Technology,j134,p218,Improved Ultrahigh-Resolution Wind Retrieval for RapidScat,k707,wind
Journal of Materials Processing Technology,j134,p219,Scatterometer Backscatter Imaging Using Backus-Gilbert Inversion,k708,Backscatter
Journal of Materials Processing Technology,j134,p219,Scatterometer Backscatter Imaging Using Backus-Gilbert Inversion,k709,Backus-Gilbert (BG)
Journal of Materials Processing Technology,j134,p219,Scatterometer Backscatter Imaging Using Backus-Gilbert Inversion,k710,sampling
Journal of Materials Processing Technology,j134,p219,Scatterometer Backscatter Imaging Using Backus-Gilbert Inversion,k711,scatterometer image reconstruction (SIR)
Journal of Materials Processing Technology,j134,p219,Scatterometer Backscatter Imaging Using Backus-Gilbert Inversion,k712,variable aperture
Nano Energy,j135,p201,Normalized Coordinate Equations and an Energy Method for Predicting Natural Curved-Fold Configurations,k538,origami
Nano Energy,j135,p201,Normalized Coordinate Equations and an Energy Method for Predicting Natural Curved-Fold Configurations,k666,Curved folding
Nano Energy,j135,p201,Normalized Coordinate Equations and an Energy Method for Predicting Natural Curved-Fold Configurations,k667,developable
Nano Energy,j135,p201,Normalized Coordinate Equations and an Energy Method for Predicting Natural Curved-Fold Configurations,k668,energy
Nano Futures,j136,p202,Heat transfer to bouncing droplets on superhydrophobic surfaces,k323,Heat transfer
Nano Futures,j136,p202,Heat transfer to bouncing droplets on superhydrophobic surfaces,k669,Contact time
Nano Futures,j136,p202,Heat transfer to bouncing droplets on superhydrophobic surfaces,k670,Droplet impact
Nano Futures,j136,p202,Heat transfer to bouncing droplets on superhydrophobic surfaces,k671,Superhydrophobic surfaces
Journal of Biomechanics,j137,p203,"Relationships between footwear, foot structure, and foot muscle strength",k167,footwear
Journal of Biomechanics,j137,p203,"Relationships between footwear, foot structure, and foot muscle strength",k672,foot function
Journal of Biomechanics,j137,p203,"Relationships between footwear, foot structure, and foot muscle strength",k673,foot strength
Journal of Biomechanics,j137,p203,"Relationships between footwear, foot structure, and foot muscle strength",k674,foot structure
Journal of Biomechanics,j137,p203,"Relationships between footwear, foot structure, and foot muscle strength",k675,intrinsic muscles
Journal of Biomechanics,j137,p204,Running shoe optimal stiffness and speed,k676,athletic footwear
Journal of Biomechanics,j137,p204,Running shoe optimal stiffness and speed,k677,athletic Performance
Journal of Biomechanics,j137,p204,Running shoe optimal stiffness and speed,k678,carbon fiber
Journal of Biomechanics,j137,p204,Running shoe optimal stiffness and speed,k679,running performance
Journal of Biomechanics,j137,p204,Running shoe optimal stiffness and speed,k680,running shoe
Journal of Biomechanics,j137,p204,Running shoe optimal stiffness and speed,k681,shoe stiffness
Journal of Biomechanics,j137,p204,Running shoe optimal stiffness and speed,k682,sports biomechanics
