title,idS,idP
Interplay of dislocation substructure and elastic strain evolution in additively manufactured Inconel 625,s41,p41
Improving running economy through altered shoe bending stiffness across speeds,s42,p42
Self-Sustaining 3D Thin Liquid Films in Ambient Environments,s43,p43
Picking Out Nonlinear Collective Couplings with Two-Dimensional Terahertz Spectroscopy,s44,p44
Measured Polarization Components of Nonlinear Thomson Scattering,s45,p45
"Analysis of perceived social impacts of existing products designed for the developing world, with implications for new product development",s46,p46
Direct macro-to-micro interface method for microfluidics,s47,p47
Impact of part thickness and drying conditions on saturation limits in binder jet additive manufacturing,s48,p48
DNA origami mediated electrically connected metal—semiconductor junctions,s49,p49
Kcollections: A fast and efficient library for K-mers,s50,p50
Spectral and Dynamic Consequences of Network Specialization,s51,p51
Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems,s52,p52
SR-SYBA: A scale and rotation invariant synthetic basis feature descriptor with low memory usage,s53,p53
Discrete-ordinates modelling of the radiative heat transfer in a pilot-scale rotary kiln,s54,p54
Single-Shot Measurement of Extreme Ultraviolet Free Electron Laser Pulses,s55,p55
Cryogenic Stress-Driven Grain Growth Observed via Microcompression with in situ Electron Backscatter Diffraction,s56,p56
Biocompatible PEGDA Resin for 3D Printing,s57,p57
Reducing Cycle Times of Refill Friction Stir Spot Welding in Automotive Aluminum Alloys,s58,p58
A Method for Creating Product Social Impact Models of Engineered Products,s59,p59
Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit,s60,p60
Using Partial Duplication with Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,s61,p61
3D hydrodynamic focusing in microscale optofluidic channels formed with a single sacrificial layer,s62,p62
"Teaching and Learning Electromagnetics in 2020: Issues, trends, opportunities, and ideas for developing courses",s63,p63
Turbulence modulation in particle-laden stationary homogeneous isotropic turbulence using one-dimensional turbulence,s64,p64
Validated Lateral Seismic Force-Displacement Backbone Curves for High-Speed Rail Bridge Abutments,s65,p65
High-Throughput Exploration of Lithium-Alloy Protection Layers for High-Performance Lithium-Metal Batteries,s66,p66
Measuring height characteristics of sagebrush (Artemisia sp ) using imagery derived from small unmanned aerial systems (SUAS),s67,p67
Oxidation efficiency of glucose using viologen mediators for glucose fuel cell applications with non-precious anodes,s68,p68
A 0 2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,s69,p69
Controlling martensite and pearlite formation with cooling rate and temperature control in rotary friction welding,s70,p70
Smart camera for quality inspection and grading of food products,s71,p71
Optimization and implementation of synthetic basis feature descriptor on FPGA,s72,p72
Nanoparticle orientation distribution analysis and design for polymeric piezoresistive sensors,s73,p73
Optimization of laser sintering for demineralized bone/polycaprolactone composite powder for bone tissue scaffold,s74,p74
A CPRBM-based method for large-deflection analysis of contact-aided compliant mechanisms considering beam-to-beam contacts,s75,p75
Non-catalytic ash effect on char reactivity,s76,p76
Generalized regular k-point grid generation on the fly,s77,p77
Compact structure with high TX-RX isolation for frequency domain duplexing on printed circuit boards,s78,p78
"Closed-Loop, Axial Temperature Control of Etched Silicon Microcolumn for Tunable Thermal Gradient Gas Chromatography",s79,p79
Grain boundary structure–property model inference using polycrystals: the overdetermined case,s80,p80
"Thermal transport due to buoyant flow past a vertical, heated superhydrophobic surface with uniform stream-wise slip",s81,p81
The effects of doping alumina with silica in alumina-supported NiO catalysts for oxidative dehydrogenation of ethane,s82,p82
Adaptive relay autotuning under static and non-static disturbances with application to friction stir welding,s83,p83
Postprocessing the outputs of an interacting multiple-model Kalman filter using a Markovian trellis to estimate parameter values of aged Li-ion cells,s84,p84
Sparse Equalization in Aeronautical Telemetry Using Two Transmit Antennas,s85,p85
Full-scale 3D-modelling of the radiative heat transfer in rotary kilns with a present bed material,s86,p86
The biotech living and the walking dead,s87,p87
An investigation of geometrically necessary dislocations and back stress in large grained tantalum via EBSD and CPFEM,s88,p88
"Technological turbulence and greening of team creativity, product innovation, and human resource management: Implications for sustainability",s89,p89
Optimising the design of phased array feeds for survey speed,s90,p90
Latanoprost uptake and release from commercial contact lenses,s91,p91
Nanoantibiotics containing membrane-active human cathelicidin LL-37 or synthetic ceragenins attached to the surface of magnetic nanoparticles as novel and innovative therapeutic tools: Current status and potential future applications,s92,p92
Analysis of distortion phase shift in a highly loaded fan stage,s93,p93
Using Cyclic Quadrilaterals to Design Cylindrical Developable Mechanisms,s94,p94
Optical measurement of voids in situ during infusion of carbon reinforcements,s95,p95
Simphony: An open-source photonic integrated circuit simulation framework,s96,p96
"Designer Thinking, A Unique Combination of Cognitive Modes",s97,p97
Rethinking Our Assumptions About Language Model Evaluation,s98,p98
Nanofluidic peristaltic pumps made from silica thin films,s99,p99
Modeling common cause failures in systems with triple modular redundancy and repair,s100,p100
Comparing model-based control methods for simultaneous stiffness and position control of inflatable soft robots,s101,p101
Analysis and evaluation of partitioning techniques for multi-user CAD,s102,p102
"Automated sounding for concrete bridge deck inspection through a multi-channel, continuously moving platform",s103,p103
"Design and analysis of self-deployable, self-stiffening, and retractable arrays",s104,p104
Unpacking the Mathematics of Modeling Origami Folding Transformations with Quaternions,s105,p105
"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",s106,p106
Developing Decision Boundaries for Left-Turn Treatments,s107,p107
Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,s108,p108
Simulation and Emulation of X-Ray Diffraction from Dynamic Compression Experiments,s109,p109
Single pursuer and two cooperative evaders in the border defense differential game,s110,p110
Volume and frequency-independent spreading of droplets driven by ultrasonic surface vibration,s111,p111
Improving the Reliability of TMR with Nontriplicated I/O on SRAM FPGAs,s112,p112
Statistical method to extract radiation-induced multiple-cell upsets in SRAM-Based FPGAs,s113,p113
Electromagnetic excitation technique for nonlinear resonant ultrasound spectroscopy,s114,p114
On the modeling of a contact-aided cross-axis flexural pivot,s115,p115
Model predictive control and estimation of managed pressure drilling using a real-time high fidelity flow model,s116,p116
Coherence analysis of the noise from a simulated highly heated laboratory-scale jet,s117,p117
Measuring Compliance of Driver Yielding at Enhanced Pedestrian Crossings in Utah,s118,p118
Array Antenna Gain Enhancement with the Poynting Streamline Method,s119,p119
Exact relations between Rayleigh-Bénard and rotating plane Couette flow in two dimensions,s120,p120
Cooperative relative navigation of multiple aircraft in global positioning system-denied/degraded environments,s121,p121
Convolutional Neural Network Based on Complex Networks for Brain Tumor Image Classification with a Modified Activation Function,s122,p122
Applying Compiler-Automated Software Fault Tolerance to Multiple Processor Platforms,s123,p123
Kinetostatic and dynamic modeling of flexure-based compliant mechanisms: A survey,s124,p124
Guest editorial an overview of the seabed characterization experiment,s125,p125
Augmented Reality for Interactive Robot Control,s126,p126
Visio-acoustic data fusion for structural health monitoring applications,s127,p127
A Low-Profile High-Efficiency Fast Battery Charger With Unifiable Constant-Current and Constant-Voltage Regulation,s128,p128
Atomic flux circuits,s129,p129
"Detecting and imaging stress corrosion cracking in stainless steel, with application to inspecting storage canisters for spent nuclear fuel",s130,p130
Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7 1 Anchorage Alaska Earthquake,s131,p131
When do workarounds help or hurt patient outcomes? The moderating role of operational failures,s132,p132
Glue Technologies for Space Systems: An Introduction to a New AESS Technical Panel,s133,p133
A New Boundary Harnack Principle (Equations with Right Hand Side),s134,p134
Streamlining the preparation of “endotoxin-free” ClearColi cell extract with autoinduction media for cell-free protein synthesis of the therapeutic protein crisantaspase,s135,p135
Developable mechanisms on regular cylindrical surfaces,s136,p136
Contributions of Tip Leakage and Inlet Diffusion on Inducer Backflow,s137,p137
Modeling acoustic resonators using higher-order equivalent circuits,s138,p138
"Adapting standard external clustering metrics for repetitive, noisy observations",s139,p139
The effects of voids in quasi-static indentation of resin-infused reinforced polymers,s140,p140
"Isogeometric boundary element methods and patch tests for linear elastic problems: Formulation, numerical integration, and applications",s141,p141
Irregular quadrature amplitude modulation for adaptive physical-layer security,s142,p142
Machine-learned multi-system surrogate models for materials prediction,s143,p143
Synchronization between sensors and cameras in movement data labeling frameworks,s144,p144
Nonreciprocal Radio System Calibration for Propagation-Based Key Generation,s145,p145
"Associations between evaporative cooling and dust-mite allergens, endotoxins, and β-(1 → 3)-d-glucans in house dust: A study of low-income homes",s146,p146
"Heat transfer, efficiency and turn-down ratio of a dynamic radiative heat exchanger",s147,p147
Space-Time Coded ARTM CPM for Aeronautical Telemetry,s148,p148
Efficient evolutionary learning algorithm for real-time embedded vision applications,s149,p149
Johnny's Journey Toward Usable Secure Email,s150,p150
Model Boundary Approximation Method as a Unifying Framework for Balanced Truncation and Singular Perturbation Approximation,s151,p151
Quality assessment of images with multiple distortions based on phase congruency and gradient magnitude,s152,p152
Heat set creases in polyethylene terephthalate (PET) sheets to enable origami-based applications,s153,p153
Identifying the relative importance of predictive variables in artificial neural networks based on data produced through a discrete event simulation of a manufacturing environment,s154,p154
Moderating operator influence in human-swarm systems,s155,p155
Intent-based robotic path-replanning: When to adapt new paths in dynamic environments,s156,p156
Proving data race freedom in task parallel programs using a weaker partial order,s157,p157
Identifying Team Selection and Alignment Factors by Delivery Method for Transportation Projects,s158,p158
On Sparse Channel Estimation in Aeronautical Telemetry,s159,p159
Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,s160,p160
Network Reduction in Transient Stability Models using Partial Response Matching,s161,p161
Origami-inspired sacrificial joints for folding compliant mechanisms,s162,p162
Observed building damage patterns and foundation performance in Mexico City following the 2017 M7 1 Puebla-Mexico City earthquake,s163,p163
Using non-destructive testing to predict bending modulus of carbon infiltrated-carbon nanotubes,s164,p164
Mechanical and temperature resilience of multi-material systems for printed electronics packaging,s165,p165
Feedback regulation of immune response to maximum exercise in Gulf war illness,s166,p166
Examining Nonlinear Terahertz Photonic and Phononic Excitation with Two-Dimensional Spectroscopy,s167,p167
Direct Comparison between Multi-Dimensional Terahertz Vibrational Spectroscopies,s168,p168
Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip: Isoflux wall,s169,p169
Just-noticeable difference binary pattern for reduced reference image quality assessment,s170,p170
Free Space Excitation in Optofluidic Devices for Single Particle Detection,s171,p171
Multiplexed Detection of Single Antibiotic Drug-Resistant Plasmids using Multimode Interference Waveguide Based Optofluidic Chip,s172,p172
Three-Dimensional Hydrodynamic Focusing Designs for Integrated Optofluidic Detection Enhancement,s173,p173
Transparency: Transitioning From Human–Machine Systems to Human-Swarm Systems,s174,p174
An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,s175,p175
An APMonitor Temperature Lab PID Control Experiment for Undergraduate Students,s176,p176
An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,s177,p177
Design of a Clinical Decision Support System for Predicting Erectile Dysfunction in Men Using NHIRD Dataset,s178,p178
Structure descriptor based on just noticeable difference for texture image classification,s179,p179
3D hydrodynamic flow focusing-based micromixer enables high-resolution imaging for studying the early folding kinetics of G-quadruplex,s180,p180
Thermal and hydrothermal stability of pure and silica-doped mesoporous aluminas,s181,p181
"Binder jetting: A review of process, materials, and methods",s182,p182
Simulated Tremor Propagation in the Upper Limb: From Muscle Activity to Joint Displacement,s183,p183
Hardware friendly robust synthetic basis feature descriptor,s184,p184
"The September 19, 2017 Mw 7 1 Puebla-Mexico city earthquake: Important findings from the field – Overview of Special Edition",s185,p185
Generating a Binary Symmetric Channel for Wiretap Codes,s186,p186
Evaluation of intermetallic compound layer at aluminum/steel interface joined by friction stir scribe technology,s187,p187
Soft body armor time-dependent back face deformation (BFD) with ballistics gel backing,s188,p188
Phase II monitoring of variability using Cusum and EWMA charts with individual observations,s189,p189
Relative moving target tracking and circumnavigation,s190,p190
Visual servoing with feed-forward for precision shipboard landing of an autonomous multirotor,s191,p191
Tracking multiple vehicles constrained to a road network from a uav with sparse visual measurements,s192,p192
Abstractions and realizations of dynamic networks,s193,p193
Quantifying the effects of various factors on the utility of design ethnography in the developing world,s194,p194
Single-Event Characterization of a Stratix® 10 FPGA Using Neutron Irradiation,s195,p195
Neutron radiation testing of fault tolerant risc-v soft processor on xilinx SRAM-based FPGAs,s196,p196
Extended Abstract: Comparison of Peer and Instructor Qualitative Feedback on Presentations,s197,p197
Experimental Performance of Block-Out Connections at the Base of Steel Moment Frames,s198,p198
Lower-bound dislocation density mapping in microcoined tantalum using high-resolution electron backscatter diffraction,s199,p199
Enhanced-Resolution SMAP Brightness Temperature Image Products,s200,p200
Normalized Coordinate Equations and an Energy Method for Predicting Natural Curved-Fold Configurations,s201,p201
Heat transfer to bouncing droplets on superhydrophobic surfaces,s202,p202
"Relationships between footwear, foot structure, and foot muscle strength",s203,p203
Running shoe optimal stiffness and speed,s204,p204
Accelerating silicon photonic parameter extraction using artificial neural networks,s205,p205
Effect of Post-weld Heat Treatment on Microstructure and Mechanical Properties of Dissimilar Metal Weld Used in Power Plants,s206,p206
S-splines: A simple surface solution for IGA and CAD,s207,p207
Atomistic survey of grain boundary-dislocation interactions in FCC nickel,s208,p208
Lowman's model goes back to the movies,s209,p209
Achieving tiered model quality in 3D structure from motion models using a multi-scale view-planning algorithm for automated targeted inspection,s210,p210
"Disaster reconnaissance using multiple small unmanned aerial vehicles""",s211,p211
EFFECT OF GYROSCOPE PARAMETERS ON GYROSCOPIC TREMOR SUPPRESSION IN A SINGLE DEGREE OF FREEDOM,s212,p212
Deep RC: Enabling remote control through deep learning,s213,p213
Encirclement of moving targets using relative range and bearing measurements,s214,p214
Error-state LQR control of a multirotor UAV,s215,p215
Visual servoing for multirotor precision landing in daylight and after-dark conditions,s216,p216
A review of binarized neural networks,s217,p217
Improved Ultrahigh-Resolution Wind Retrieval for RapidScat,s218,p218
Scatterometer Backscatter Imaging Using Backus-Gilbert Inversion,s219,p219
Don't Punish all of us: Measuring User Attitudes about Two-Factor Authentication,s220,p220
Gesture commands for controlling high-level UAV behavior,s221,p221
Using case-method pedagogy to facilitate audience awareness,s222,p222
Highly accurate acoustic scattering: Isogeometric Analysis coupled with local high order Farfield Expansion ABC,s223,p223
Dynamic optimization of a district energy system with storage using a novel mixed-integer quadratic programming algorithm,s224,p224
Data classification and parameter identification in power systems by manifold learning,s225,p225
Fabrication of demineralized bone matrix/polycaprolactone composites using large area projection sintering (LAPS),s226,p226
Modeling of trans-grain twin transmission in AZ31 via a neighborhood-based viscoplastic self-consistent model,s227,p227
Site effects in Mexico City basin: Past and present,s228,p228
Thermal and Vapor Smoothing of Thermoplastic for Reduced Surface Roughness of Additive Manufactured RF Electronics,s229,p229
In-plane permeability characterization of engineering textiles based on radial flow experiments: A benchmark exercise,s230,p230
Non-canonical amino acid labeling in proteomics and biotechnology,s231,p231
Physical-Layer Security: Does it Work in a Real Environment?,s232,p232
"Jet features: Hardware-friendly, learned convolutional kernels for high-speed image classification",s233,p233
The design critique and the moral goods of studio pedagogy,s234,p234
Single Particle Detection Enhancement with Wavelet-based Signal Processing Technique,s235,p235
Sagittal plane walking biomechanics in individuals with knee osteoarthritis after quadriceps strengthening,s236,p236
Recognition of Chinese food using convolutional neural network,s237,p237
Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model,s238,p238
Optofluidic Platform with Integrated Optical Waveguides and Sample Preparation for Digitized Detection of Nucleic Acid Targets,s239,p239
Full-Duplex Jamming for Enhanced Hidden-Key Secrecy,s240,p240
Adaptive Physical-Layer Security Through Punctured Coding for Secrecy,s241,p241
The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?,s242,p242
High-throughput simulations for insight into grain boundary structure-property relationships and other complex microstructural phenomena,s243,p243
The AFLOW Library of Crystallographic Prototypes: Part 2,s244,p244
Informatics analysis of capillary electropherograms of autologously doped and undoped blood,s245,p245
Origami-Based Design of Conceal-and-Reveal Systems,s246,p246
A usability study of four secure email tools using paired participants,s247,p247
Deconfliction in high-density unmanned aerial vehicle systems,s248,p248
Approximate MLSE Equalization of SOQPSK-TG in Aeronautical Telemetry,s249,p249
Losartan attenuates progression of osteoarthritis in the synovial temporomandibular and knee joints of a chondrodysplasia mouse model through inhibition of TGF-β1 signaling pathway,s250,p250
Impact of pulse length on the accuracy of defect depth measurements in pulse thermography,s251,p251
Predicting recrystallized grain size in friction stir processed 304L stainless steel,s252,p252
Polar coding for physical-layer security without knowledge of the eavesdropper's channel,s253,p253
"Direct Relative Edge Optimization, A Robust Alternative for Pose Graph Optimization",s254,p254
Compressive strength of high-strength concrete masonry grouted prisms,s255,p255
The polygraph: A data structure for genome alignment and variation detection,s256,p256
Quantifying accuracy of a concept laser metal additive machine through the NIST test artifact,s257,p257
Automated Air-Coupled Impact-Echo Testing of a Concrete Bridge Deck from a Continuously Moving Platform,s258,p258
The Effect of Antenna Mutual Coupling on MIMO Radar System Performance,s259,p259
Turning depths: Evanescent to propagating wave kinetic energy density,s260,p260
Microstructural evaluation of hydrogen embrittlement and successive recovery in advanced high strength steel,s261,p261
Over-Design Versus Redesign as a Response to Future Requirements,s262,p262
Control of Net Radiative Heat Transfer with a Variable-Emissivity Accordion Tessellation,s263,p263
Biocompatible and sustainable power supply for self-powered wearable and implantable electronics using III-nitride thin-film-based flexible piezoelectric generator,s264,p264
Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods,s265,p265
Roadmap on biological pathways for electronic nanofabrication and materials,s266,p266
Impact of soft errors on large-scale FPGA cloud computing,s267,p267
On-chip FPGA debug instrumentation for machine learning applications,s268,p268
Measuring the transverse Young's modulus of maize rind and pith tissues,s269,p269
Configuration estimation for accurate position control of large-scale soft robots,s270,p270
Influence of micro-structured superhydrophobic surfaces on nucleation and natural convection in a heated pool,s271,p271
Target control and source estimation metrics for dynamical networks,s272,p272
Surveying the Landscape: Statewide Data on K-12 CS Education Implementation,s273,p273
Dynamics of a capsule flowing in a tube under pulsatile flow,s274,p274
Failure time distributions for complex equipment,s275,p275
An intuitive way to understand mutual coupling effects in antenna arrays using the poynting streamline method,s276,p276
A 9-Bit 10-MHz 28-μW SAR ADC Using Tapered Bit Periods and a Partially Interdigitated DAC,s277,p277
Reduced-order modeling through machine learning and graph-theoretic approaches for brittle fracture applications,s278,p278
Necessary and Sufficient Conditions on State Transformations That Preserve the Causal Structure of LTI Dynamical Networks,s279,p279
"Dynamic Networks: Representations, Abstractions, and Well-Posedness",s280,p280
Alpha Model Domination in Multiple Choice Learning,s281,p281
Static structures in leaky mode waveguides,s282,p282
Origami fold states: Concept and design tool,s283,p283
Geometrically Motivated Reparameterization for Identifiability Analysis in Power Systems Models,s284,p284
Product development: Principles and tools for creating desirable and transferable designs,s285,p285
"Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft",s286,p286
The effect of communication and vehicle properties on the search performance of a swarm of unmanned aerial vehicles,s287,p287
Simulating stall inception in a high-performance fan using createt m-av kestrel,s288,p288
Microfluidic temperature behavior in a multi-material 3D printed chip,s289,p289
Takeoff and performance trade-offs of retrofit distributed electric propulsion for urban transport,s290,p290
Identifying mode shapes of turbo-machinery blades using principal component analysis and support vector machines,s291,p291
New uses of instagram in design history education,s292,p292
Exploring play interventions in design education,s293,p293
"Exploring the moral differences, between industrial design, engineering and entrepreneurship students",s294,p294
Progress on static structures for leaky mode waveguides,s295,p295
Polarization-resolved single-photon measurements of nonlinear Thomson scattering,s296,p296
The personification of big data,s297,p297
Cooperating in long-term relationships with time-varying structure,s298,p298
Modeling pressurized dense phase coal fluidization and transport,s299,p299
A usability study of five two-factor authentication methods,s300,p300
Improving photophoretic trap volumetric displays [Invited],s301,p301
Designing emergent swarm behaviors using behavior trees and grammatical evolution,s302,p302
"Is that you, Alice? A usability study of the authentication ceremony of secure messaging applications",s303,p303
Analyzing the safety impacts of raised medians,s304,p304
Action needed! Helping users find and complete the authentication ceremony in signal,s305,p305
When is a tree really a truck? Exploring mental models of encryption,s306,p306
Frequency response of the leap motion controller and its suitability for measuring tremor,s307,p307
DFT-based frequency offset estimators for 16-APSK,s308,p308
Doppler power spectra from vehicle-to-everything propagation experiments,s309,p309
Analysis of inertial measurement data from a model rocket payload,s310,p310
On carrier frequency and phase synchronization for coded 16-APSK in aeronautical mobile telemetry,s311,p311
Polarization diversity and equalization of frequency selective channels in telemetry environment for 16APSK,s312,p312
Characterization and validation of in situ void formation during resin infusion,s313,p313
Characteristics of self-deployment in origami-based systems,s314,p314
Deployable euler spiral connectors (DESCs),s315,p315
Cylindrical developable mechanisms for minimally invasive surgical instruments,s316,p316
Factors leading to sustainable social impact on the affected communities of engineering service learning projects,s317,p317
Conceptualizing stable states in origami-based devices using an energy visualization approach,s318,p318
Thick folding through regionally-sandwiched compliant sheets,s319,p319
Benefits of a short-term engineering study abroad: A survey of students over the past 15 years,s320,p320
Kirigami-based deployable transcrease hard stop models usable in origami patterns,s321,p321
Fabrication and testing of a MEMS system for injection of DNA into plant cells,s322,p322
Machine learning for evaluating the social impact of engineered products: A framework,s323,p323
Simulation of a micro-electro-mechanical system for generating electrical power from pressurized gas,s324,p324
Establishing baseline performance for off-the-shelf nitrile seals for the India Mark II hand pump system,s325,p325
Advances in Signal Processing for Friction Stir Welding Temperature Control,s326,p326
Dynamic optimization of high-altitude solar aircraft trajectories under station-keeping constraints,s327,p327
A neutral XML design framework for generating parametric parts in multiple CAD systems,s328,p328
Measurement of radiative gas and particle emissions in biomass flames,s329,p329
3D printed selectable dilution mixer pumps,s330,p330
Using ellipsometry and X-ray photoelectron spectroscopy for real-time monitoring of the oxidation of aluminum mirrors protected by ultrathin MgF2 layers,s331,p331
3D printing for lab-on-a-chip devices with 20 μm channels,s332,p332
Best practices for wake model and optimization algorithm selection in wind farm layout optimization,s333,p333
Comparison of wind farm layout optimization results using a simple wake model and gradient-based optimization to large-eddy simulations,s334,p334
Thermal properties of thin film uranium oxides and thorium oxides,s335,p335
Effects of laser ablation parameters to pattern high purity magnesium surfaces,s336,p336
Radial variation in distortion transfer and generation in a highly loaded fan stage from near-stall to choke,s337,p337
Evaluation and demonstration of take home laboratory kit,s338,p338
A Proposed Test to Evaluate Efflorescence Potential of Ceramic Blocks,s339,p339
Increasing Inducer Stability and Suction Performance With a Stability Control Device,s340,p340
Relative Heading Estimation and Its Application in Target Handoff in GPS-Denied Environments,s341,p341
One-dimensional turbulence modelling of a lifted methane/air jet flame in a vitiated coflow,s342,p342
Changes in perceptions of ethical climate among undergraduate engineering students,s343,p343
"“Something isn't secure, but I'm not sure how that translates into a problem”: Promoting autonomy by designing for understanding in Signal",s344,p344
A methodology for analyzing intersection safety,s345,p345
Safe2Ditch: Emergency landing for small unmanned aircraft systems,s346,p346
Single particle detection enhancement with wavelet-based signal processing technique,s347,p347
A comparative usability study of key management in secure email,s348,p348
Passive Force-Deflection Curves for Controlled Low-Strength Material (CLSM) and Lightweight Cellular Concrete (LCC),s349,p349
Enhanced Detection of Single Viruses On-Chip via Hydrodynamic Focusing,s350,p350
User attitudes toward the inspection of encrypted traffic,s351,p351
Weighing Context and Trade-offs: How suburban adults selected their online security posture,s352,p352
Do capstone students really understand the needs of the customer?: Observations on students’ blind spots left by early program curriculum,s353,p353
The technology/tactics (TEC/TAC) plot: Explicit representation of user actions in the product design space,s354,p354
The spectral line weighted-sum-of-gray-gases (SLW) model for prediction of radiative transfer in molecular gases,s355,p355
Closed-Loop PID Re-Tuning in a Digital Twin by Re-Playing Past Setpoint and Load Disturbance Data,s356,p356
Measurements and modeling of fluid flow and thermal processes in an industrial precalciner,s357,p357
Using a Product's Sustainability Space as a Design Exploration Tool,s358,p358
Broadband antireflective light-blocking layer using nanoparticle suspension in photoresist with high-resolution patterning,s359,p359
A CAD assembly simplification approach with ray casting,s360,p360
Overestimation of liquefaction hazard in areas of low to moderate seismicity due to improper characterization of probabilistic seismic loading,s361,p361
Strategies for Removing Common Mode Failures from TMR Designs Deployed on SRAM FPGAs,s362,p362
High surface-area carbon microcantilevers,s363,p363
Experimental characterization of leaky-mode spatial light modulators fabricated via direct laser writing,s364,p364
Multi-timescale pump-probe spectroscopy using time-encoding and time-stretching methods,s365,p365
Accelerating high-throughput searches for new alloys with active learning of interatomic potentials,s366,p366
"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",s367,p367
Development and testing of an innovative architectural programming simulation as a precursor to target value design,s368,p368
Adaptive control of large-scale soft robot manipulators with unknown payloads,s369,p369
Three-way spectral decompositions of high-performance military aircraft noise,s370,p370
The Sobrado Vallim Rehabilitation Project,s371,p371
Expanding the far UV range of aluminum-coated mirrors for space-based observations to reflect hydrogen Lyman lines via fluoride multilayers,s372,p372
